AnnualIncome,TotalDebt,Age,PaymentHistory,Creditworthy
45361.81436223178,6968.210493196551,40,1,1
54968.95147105346,29926.88568959522,42,2,0
64633.17690683539,12288.763989574312,51,2,1
42812.38643232065,14786.327056515638,43,1,1
47215.115350042746,7527.883208521766,64,1,1
33404.97538990958,0.0,22,0,0
32056.90063878994,23840.453963610496,43,2,0
62187.88733591297,22368.438970924333,37,0,0
70343.60042856235,12186.724428817866,23,1,0
48919.848176294996,15669.907172248719,23,1,0
65052.99346838036,20159.392177040994,67,1,1
55424.54037571451,0.0,35,0,1
40323.203680923136,9709.473226537051,21,2,0
55420.934082626205,22942.646796218272,34,0,0
73070.54849698953,2457.105768307505,31,2,1
49462.60941335073,17935.579321666293,31,0,0
73469.6548372101,1434.1819537659503,30,0,1
20000.0,19664.299824335263,24,2,0
62328.53756562836,14643.585177025165,61,0,1
51305.706023572566,0.0,32,2,1
45514.88974301199,26647.393544571714,36,2,0
51376.41164803253,7654.084232019508,60,0,1
20186.46628098661,6897.47562985619,64,2,1
46704.92168243732,17005.69197230943,61,1,0
55356.6885726762,26486.373494287152,52,2,1
72168.41067112274,4841.781810216031,34,0,1
42225.94672589529,15616.798498479717,52,2,1
37872.595956602185,19288.16500330573,36,0,0
42473.64434623195,21931.05607263144,37,2,0
63731.03176553111,16764.41555277225,53,2,1
54931.266644895266,11329.721609166776,52,2,1
42053.59694349442,6724.097793512803,49,2,1
57699.01149670034,15861.438830463747,65,2,1
51456.16324022061,4278.609880143931,61,2,1
64529.674857993334,0.0,57,0,1
39469.203591839716,19365.59804157668,41,1,0
45085.067801033474,24039.348410861952,34,1,0
44118.377703017635,0.0,24,1,1
28047.275778018222,4902.692952900625,60,1,0
54441.80415596864,21191.542610051976,67,2,1
53915.82908269834,35574.95469711699,18,0,0
50076.70184963691,15207.937076754079,52,2,1
46481.1929993728,7719.970587708655,49,0,0
28769.438869243786,13171.035588951598,53,1,1
43690.320158519615,28748.76419148185,30,2,0
44859.282252098456,8540.358208754647,23,2,1
37965.84096167571,7008.0799334974645,31,2,1
47580.71432500986,10172.564778179676,54,2,1
56060.762852218075,5466.713917412877,65,0,1
78292.78851815795,16226.703159947956,32,2,0
52618.66719247759,31246.784584695604,64,0,1
53863.25586084147,18230.79273116029,21,1,0
48883.311263507494,12476.464978737124,57,1,1
21218.431770514377,12081.887310844559,33,0,0
49602.291868261746,0.0,45,1,1
50903.4531491154,23831.097771471592,33,2,0
86948.6316872793,14221.62802987198,21,2,0
47114.58552828316,13195.200864093744,62,1,1
54523.210135004185,46931.07567844861,43,0,0
49479.32345442135,17987.529083656864,45,0,0
32469.82943570702,7482.0894990481565,49,1,0
67142.34221772531,10736.424037944567,62,2,1
61278.99549030161,26484.457091967546,19,0,0
61865.47920564571,16132.704105377645,48,2,1
36359.18817807891,617.2202168263339,20,0,0
71041.91466404148,24192.289345752033,25,2,1
28972.234058115788,8318.55914461006,41,1,0
58802.85640700405,33732.977762175455,32,2,0
82856.83438714968,25800.480657146487,60,1,1
35141.955123039676,10526.781043412488,48,2,1
41505.53405595842,27810.16361735113,26,0,0
51494.77047631462,15678.555105274034,56,0,1
42447.86518825701,23527.736751222197,62,2,1
26740.04853400801,19847.328172944748,19,2,0
51028.44462209041,6536.433450091265,25,2,0
34065.44429410843,8564.50167682538,24,2,0
57103.88645952773,25299.608175811612,61,2,1
36208.63648649295,11652.24667893459,68,0,1
73249.01607526309,10963.515367580032,56,1,1
38251.20061495644,5448.77420650647,59,1,0
45169.07725691487,19235.990655934613,33,2,0
62202.758260545044,35625.24919243145,52,1,0
31537.03525349067,4324.670857457271,47,0,0
53411.899019061944,15242.194566727581,27,2,1
69607.14131423642,29122.205554154294,55,2,1
25887.75148158159,14203.586087542848,35,1,0
52769.507877984564,19523.71796249734,67,0,0
53898.24191372635,4376.064718531203,22,0,0
61727.34307665966,19283.070972076486,46,1,0
31445.73933682877,13128.557349954512,56,1,1
30193.150803735854,24857.29995679863,51,2,0
57829.12348425346,26873.86051564751,60,2,1
54454.77009849779,40895.63642018614,62,2,0
53757.39275518815,20796.331732135757,40,1,0
55196.72314245463,18257.963165821664,22,2,1
39799.62917632264,16943.84301577336,47,1,0
53483.80545741505,11468.337071893116,23,1,0
54396.08709948022,18384.83843461691,63,2,1
39284.72872960448,12045.985898609706,61,0,0
77986.61766717135,16684.609762696142,21,0,0
57107.49381367681,28175.975356079594,46,2,1
32130.44754196027,4934.574347203588,40,1,0
59848.30412950744,26398.785611290456,23,2,0
35379.77494659018,28171.150673398653,49,0,0
61806.26905613678,13819.314730089212,59,2,1
67378.93368511106,0.0,35,1,1
37689.76522472434,8921.780129055674,32,0,0
64450.64193866483,27969.94546561109,57,2,1
56191.71390404747,14771.31937701118,49,1,1
62330.90239991735,5006.977677050892,26,1,1
78451.89473980921,9952.250787717825,54,0,1
46319.17825995694,23406.200265045532,27,0,0
38693.95753463766,20467.335682013792,37,1,0
36657.28355561715,12610.679008303057,23,0,0
37762.845725518426,11331.755881853125,65,2,1
48843.47435878844,11082.418509561781,20,0,0
55117.279622249654,5775.898155014975,59,1,1
54150.36198995029,31153.756894694416,28,0,0
62407.74873554036,11776.795307886601,60,1,1
50195.02837816861,27171.585208254965,34,2,0
71803.01115735975,30213.16051922451,49,0,0
46030.147501430656,24983.108981479603,21,2,0
90802.53749884429,10683.796872819516,21,1,1
59385.01021647509,19037.300903366093,34,2,0
37142.63665375576,14758.043936090839,58,2,1
33936.612529083315,5962.981392698719,36,2,0
57237.08622864778,18243.59281721603,22,2,1
46648.05822011224,3209.6020884019745,49,2,1
60710.007411381375,26876.79388461564,39,0,0
57098.56436860317,10353.827027016068,23,0,0
48907.56631014691,17011.596558728394,52,2,0
37298.094228973925,17832.878715461422,39,1,0
27277.291629712032,12410.950262959226,18,1,0
43302.275718994686,20866.938014752748,37,2,1
62845.981914852084,10250.963433774756,39,1,1
53211.40616195306,23712.97297457244,65,2,1
31313.91831932018,1540.2031975325153,28,2,1
52597.71388776773,16263.795795464119,30,2,1
55779.76069593255,34389.28999058285,59,2,1
36742.138456983004,4996.686753944252,20,0,0
52305.87658918292,8222.550294751485,26,1,0
50873.13077669,20139.07849658915,29,1,0
32855.44553254065,16795.81781939598,40,1,0
55366.81040522425,18506.300992735592,31,2,0
58411.76789552352,19891.871301476636,50,2,1
66245.76864762916,21347.2146856177,35,1,0
65807.03078052355,26096.99841956223,66,1,0
29334.959480643633,19098.186569285124,58,2,0
35932.62440127316,12587.423453814576,26,1,0
57725.529008129895,21725.73701202731,40,1,1
57706.78926368313,33998.81934895215,27,1,0
57725.715294590715,13673.662536174264,36,2,0
107790.97235982082,5254.706953293586,64,2,1
58563.35766039751,26070.80669286973,22,2,0
67033.48460270898,13796.188360464017,64,2,1
64310.02645239804,0.0,69,1,1
59770.868769586974,23474.216771504216,40,1,0
45270.96133039481,9646.718140460773,47,2,1
61384.53830739901,14094.667176958392,42,1,0
38407.621781936425,18319.803305690144,45,2,0
46447.72089889987,16904.996797790664,51,2,1
42719.54678256345,22094.518171390395,62,2,1
51228.112090794835,10645.136294301567,65,2,1
84719.87850010264,20131.057981760827,64,2,1
21991.02211112378,12404.533224160828,42,2,1
60293.9028556177,22388.104808875032,27,1,0
25809.261932155227,21153.674840130534,31,0,0
42921.0220131585,5645.612979554047,59,1,0
66334.25895451049,25859.821161750322,63,2,1
50964.200286431944,9640.36554885952,47,1,1
33833.82833106041,23080.57798281145,58,2,1
39270.444361100475,18672.873134013407,42,1,0
60193.96623402014,33381.83676795123,31,2,0
39044.50052424295,12765.34017628148,52,0,0
53246.878843729624,11506.832038818025,69,2,1
50683.5775985572,14805.803941122675,65,2,1
40225.99478591274,11968.202171657245,51,1,0
82159.16133987988,22999.4190194205,27,1,1
59508.78533477017,0.0,52,2,1
20000.0,4463.17580853646,28,1,0
52796.814721541414,4321.97078420807,28,1,0
40073.20302847418,24503.075919735755,38,2,0
62786.50002194336,32106.133725819254,38,2,0
38112.188923509486,13955.507814625285,39,2,1
48278.95337799651,13311.782768099894,62,1,0
57574.80918470686,15700.521631131815,24,1,0
62986.327912551824,26618.783026081903,34,2,0
31995.553894163357,5726.46865809426,19,2,0
44982.481462385775,17383.68982734785,29,2,0
42875.82033258566,24751.976297824298,59,1,0
40200.06151139432,20010.941699398452,35,1,1
76481.81360421646,16895.816165987435,28,0,0
56074.725664414334,25010.46092567141,33,1,0
31086.740684974324,0.0,66,0,1
63767.92920582164,21778.753195309077,68,0,0
81832.3429551895,8459.243168725763,35,2,1
65486.97890826721,0.0,52,1,1
27209.4505106898,20112.02599524981,43,2,0
42736.48890700623,28736.585451629577,33,2,0
69003.66723779934,13625.514853723082,23,2,1
39384.958015718286,24528.74547202939,61,0,0
56657.291422193426,31122.782579886454,60,2,0
61619.510801440054,28149.144535840474,64,2,0
36096.04292632875,31399.64529371393,64,2,0
49107.119659072996,22421.274910718923,65,2,0
20000.0,15754.336389015927,59,2,0
34634.185379985654,0.0,29,2,0
46211.4777291026,12539.375118700515,30,1,0
31283.252270527257,6567.534046838082,21,2,1
74486.16955897454,36709.42717497813,56,0,0
28547.87933059051,13241.141875676634,19,2,0
43399.332699545244,16232.048067844857,43,0,0
51961.10865929137,20514.853760404676,44,1,0
71619.09933599173,15436.024463724538,44,2,1
28462.06773230841,31950.51040430753,32,2,0
67447.45628232439,8773.50638265548,25,1,1
50153.4959152938,16946.074552372425,24,1,0
35277.37023428074,7575.294143019518,64,2,1
56931.55211394906,1799.7748877929425,63,1,1
52985.895433602054,8882.309090947147,57,2,1
40996.74684261808,14629.63202951588,29,0,0
51047.031274850284,10706.9777548274,30,2,0
44220.2960470736,8075.79020126144,60,2,1
51702.76017876872,936.8253632816613,34,0,0
59931.9601178157,14168.944273713052,34,1,0
73790.25224218029,0.0,53,0,1
31432.767517597265,22600.559636896025,38,2,0
81995.500619844,15824.397529345033,25,2,0
20718.68300716247,424.48500535069434,22,2,0
47723.22357446625,11907.909229501365,43,0,0
58824.75809726865,7478.435944094168,33,1,1
54214.87801602549,18191.745104191803,53,0,0
40659.50720269109,28404.504460231445,45,1,0
46878.16624464087,0.0,46,2,1
42604.985980117504,16150.260791474171,64,2,1
41159.52864583683,13398.672044333596,29,2,0
62744.03145531537,21713.40076450466,54,1,1
55355.23228947571,17131.966282376892,47,2,1
39606.35607109019,7480.306682611809,40,2,1
63493.99813149876,11809.46064333382,33,2,1
54609.49281314914,7039.74143196511,31,2,1
62192.931782584405,25760.071385985982,27,1,0
59444.432628854185,15213.116486719422,24,0,0
37565.07483616892,34011.90685753008,62,2,0
41597.284397045456,14393.391861853792,69,0,0
61209.40407684893,7915.932330895373,54,1,1
59155.55398150197,0.0,46,2,1
49686.47609053778,0.0,20,2,1
51759.91074963173,0.0,32,2,1
69164.97343682637,17671.266510114834,53,0,1
41126.42916746255,20087.25023229934,64,1,0
58206.460717550566,0.0,63,2,1
46967.110213491585,23950.383140761154,69,2,0
46734.78195159169,10169.389483165605,36,2,1
66481.65277980786,16467.930119855493,30,2,1
62381.245234820446,31122.206282554245,59,2,1
62202.644540009576,23968.39315865532,38,2,0
69582.18210731493,12314.693520941677,54,0,1
50315.05762449138,6088.077745847126,44,2,1
60229.294569424455,0.0,69,2,1
45345.99865109816,7808.466807575799,46,2,1
54862.49528732663,12888.697611723055,37,1,1
48047.85418448473,5128.204728488161,42,2,1
51454.93947489077,13687.430329076953,23,1,1
58927.3553815537,15768.518829587681,53,2,1
37726.689751497914,12751.440181919214,19,0,0
81385.8091352819,8499.974191765403,39,2,1
34909.73927750447,16686.546719667276,49,0,0
31787.17080818402,19419.40649569409,33,0,0
67371.66310250101,4096.009225571539,35,1,0
61874.94040944404,29109.3237974627,22,2,1
59361.79725578232,14014.118677157383,53,1,1
59425.1826389642,15188.496229448476,47,1,1
49816.29840729628,22082.144232565573,62,2,1
36541.18442771253,17332.161312635017,36,1,0
51137.068372905895,24531.36633913245,40,2,1
39842.574327318325,17871.24165201824,51,2,1
64626.796001266266,8875.626253595621,30,2,1
47794.13927746792,18615.035252061018,60,1,1
37617.54204811233,3562.737926793383,46,2,1
45179.2123752051,16085.597057765232,53,0,0
56193.97181413436,14667.700093555392,39,1,1
41544.13170794038,12918.831427274603,69,1,1
37666.69406650353,13714.624885610692,69,2,1
53655.30817237868,0.0,64,0,1
53674.49856663084,9512.750922590385,53,2,1
42395.85236943305,15928.449011411147,26,2,0
42934.425415725156,16598.563919974004,56,1,0
53480.74906036454,4723.248590740419,68,0,1
28278.734877540137,27657.07840864701,36,2,0
28888.043384351673,6338.251517854991,55,2,1
39223.33668121346,24694.572005267368,23,2,0
46798.292724322295,19271.943618716847,69,1,1
54663.61348397007,8537.72690156197,64,1,1
72130.34325424329,32753.10892609512,32,1,0
62864.89434803029,3063.6316824351998,37,0,1
47600.922050548594,24191.541736100015,26,0,0
49714.75688145967,25005.823180429783,49,2,1
34962.05953043287,8293.797909233552,21,1,0
49722.30296011415,28924.653000643288,67,0,0
45670.120416197926,12499.534854010471,35,2,0
54840.778405071345,17886.93629279857,22,2,0
37591.53584671515,17603.218387712208,37,0,0
57790.197713617585,13656.912585294522,40,2,1
72991.08369503866,23108.08273159782,28,0,1
48368.597773147136,22934.88720552213,54,0,0
56025.67583148412,0.0,39,0,1
60352.159875666686,28043.402428781526,21,2,0
43981.692921712456,0.0,46,0,1
53361.38722715625,25325.462043416574,61,0,0
50188.88601172692,26267.051368275832,51,1,0
51465.14147823248,4090.335697848017,30,2,1
38404.853242168,10891.857120454151,59,1,1
50367.652613884144,3942.953315140643,26,1,0
57469.974368681746,12850.789697112647,59,0,1
71767.15411692562,11919.657158142587,48,1,1
64389.0623912781,22796.6053226934,24,2,1
82297.73686267334,28103.087461196083,21,2,1
38489.78655667926,28956.83810789956,36,1,0
63084.80955081017,9378.319734216979,59,1,1
52750.130086075274,12907.781262554723,47,0,1
82847.04399826509,0.0,48,1,1
37875.525719672725,6941.299335038112,52,0,1
37404.17236728836,24648.516330974577,38,2,1
41009.11031833967,31155.828235482317,48,2,0
20000.0,2656.511281200779,36,2,0
42113.674674788585,9075.357408471056,48,2,1
38613.01007669453,14735.94243041073,49,2,1
52255.906797143114,17801.61158819607,19,2,0
55126.339636657394,6903.9648007835385,69,1,1
78142.56258823829,19240.610444640897,27,2,1
64256.35757279075,10261.606529290839,19,1,1
41346.44516506395,14855.477291217208,19,1,0
36523.77992977463,20462.842480036998,41,2,0
57378.78757259758,15064.222698109379,34,1,0
30196.501894690366,10636.141094734314,49,1,1
77471.8814878153,13903.901960741692,33,2,1
67691.60181081931,14116.370407946646,33,0,0
42962.365218429426,11299.889701178723,63,1,1
24302.98206363684,12412.039373328977,56,2,1
70308.0856124812,30986.47170504717,48,2,0
48281.902321210735,20609.19447941239,60,2,1
68567.24467960192,12045.196819708397,41,1,0
26083.585118084495,21969.544045107355,18,1,0
41009.374655693406,11661.805102439901,28,2,1
50078.65549577275,26731.246375866413,38,2,0
50704.70890647113,18696.42192198094,21,2,0
43249.01792781134,13926.978559957712,24,0,0
59342.748985212485,19477.169258102775,43,0,0
33985.69355926108,0.0,64,2,1
47864.3077246806,3732.325310901948,67,1,1
51804.434475678485,3060.749936009446,29,2,1
57716.582510881235,16429.43094763707,48,0,0
60674.223171333346,32325.14999485092,34,2,0
33130.36862243196,37313.001461926324,50,2,0
26988.287438965664,21380.511014407573,28,2,0
69165.15232847763,20008.44474944457,45,0,0
54984.71017969387,0.0,49,2,1
38772.701951651696,9573.262002659783,18,2,0
73267.27963283785,7122.162480917611,64,1,1
51735.11951439288,8791.524017488839,45,2,1
67689.45776095739,13318.561814152104,59,2,1
51012.777221151635,10279.094223028726,24,2,0
80911.21887322981,0.0,19,2,1
76330.11263664806,22479.10256117534,59,0,0
46265.5377728139,4272.569742601934,41,1,1
64573.56426431533,17392.468641111496,21,1,1
59680.639243777216,35740.82669749974,61,2,0
70529.47336298523,5806.1540841357655,36,2,1
35526.14809129843,0.0,43,2,1
60290.77189997659,12139.957781198893,28,1,0
65876.36730274382,26009.59634998571,57,0,0
23618.907703653287,34583.474542205935,67,2,0
32251.122310013372,2704.5040554758307,60,1,0
20000.0,19966.992232365217,28,1,0
45958.89748333163,10346.895432199468,62,2,1
60763.133836939436,13940.516456958643,20,0,0
72535.35578144042,41443.43347017035,29,1,0
51111.42170629663,0.0,20,1,1
74429.23318356938,17537.396614945734,59,0,1
29298.47812677663,19676.931717654334,44,2,0
24449.26340967268,25857.86324939347,66,1,0
49166.78451655072,15979.831534708954,19,0,0
55760.98173408961,18080.505395041022,66,1,1
49509.578778588606,11083.51432578209,33,2,1
20000.0,17691.269412451074,19,1,0
48663.19940730817,11568.077245025896,47,2,1
30432.957492427202,21215.71889856051,37,0,0
60045.08823245058,11303.89663956366,55,0,1
55498.973691452724,18771.003939021866,45,1,0
35901.80320508967,14707.371863150216,42,2,0
42291.9962399496,26260.50250772168,49,2,0
34111.79717166573,14486.062764115137,27,0,0
49059.813540902425,0.0,59,2,1
64327.134807518574,27619.215007139916,57,2,1
35214.10930496684,5942.676991373812,50,1,1
57560.697732767665,8462.336613511801,30,2,1
42046.13572441339,9043.387059565079,58,0,0
38106.907516064835,28744.380931708176,59,2,0
48394.544600681635,0.0,64,2,1
34471.365163709386,46377.48533659994,54,2,0
41695.26041979227,25560.56809066052,33,2,0
32031.831611167272,17232.3891412916,62,1,1
79470.87699374584,14451.059993837136,39,2,1
50528.95327957593,17855.540748576568,37,1,0
39504.117380111216,20211.22428379338,67,1,0
53209.69866101333,21452.15585950057,60,2,1
48315.07925463755,20556.044660034484,44,2,1
46685.45600700165,15895.806812552488,58,2,1
59212.50050065138,13026.615796926739,33,1,1
61362.61565070957,13487.267163464883,51,2,0
42042.48278584209,13050.91719647319,49,2,1
41362.7263903298,26337.700968670644,43,0,0
45874.22454272534,20935.56722280862,42,1,0
20000.0,0.0,19,1,0
27272.134067021718,21559.00776529761,29,1,0
70503.11401166787,16947.36194718775,57,2,1
74674.51570251926,14812.912435541026,26,2,1
46264.45940665432,11114.815469111141,29,2,1
58648.35444583649,26241.127199860137,43,2,1
54668.75231815304,24475.264621228576,26,1,0
96183.21212682856,7271.223321763909,27,2,1
66793.62367151865,19070.52287124535,49,1,0
48081.2361277885,5283.432654587141,51,2,1
35666.89339099362,1203.8183521106948,65,0,1
25903.30519613641,8732.827754100348,37,2,0
53051.954538008344,23623.934723827588,56,1,0
38654.73882073545,24531.25045376087,19,1,0
28666.19435603489,20130.854200972928,18,2,0
40301.4067363621,22250.95786847997,68,1,0
33776.779945784074,20161.782871149582,53,2,1
75307.12452608848,8585.184047770479,41,1,0
63224.59635424176,19319.22544673941,44,2,1
49880.41038025074,23004.095252276824,19,1,0
72199.16208335038,22542.913298135743,48,0,0
51160.524614714275,26889.13371474643,31,1,0
37080.73698007604,22083.038472010638,19,1,0
72846.86115904486,18514.482075415828,46,0,0
58083.65065526988,25701.502383164276,32,1,0
34441.30768510315,14734.787407509399,29,1,0
47144.91982874588,6181.253487722823,54,0,1
36865.726199228644,13369.33036056236,45,2,1
29258.00403553496,7550.973551935509,37,2,1
63892.66321297462,8248.217250256184,56,0,1
78641.24960705196,13554.813292844821,41,2,1
29021.486392712883,7075.800790000387,38,2,0
58444.538550358564,11920.384703609598,27,1,1
40240.361463172594,0.0,63,2,1
42693.11924352956,17132.937073729387,31,1,0
41114.09113641696,15012.054753622242,54,2,1
37040.138454802756,6829.113689318094,35,0,0
50727.82441917241,21592.45668432405,41,2,0
37535.748253834434,24375.701376265584,31,2,0
54056.85238669758,0.0,51,0,1
49246.42835826294,7372.752214337857,29,1,0
46415.77929700386,7308.576502127018,39,2,1
36386.545069376036,5600.968988911354,23,1,0
41348.43004147501,23294.748419317482,53,2,0
61330.86838738634,13061.738612271965,62,2,1
57513.75781436571,12354.851586893892,53,2,1
35336.67132802174,0.0,39,2,1
51489.98458143839,21354.180302092263,31,2,0
61270.80685057683,2607.416051465274,33,2,1
24958.920783179423,15599.326302663283,53,1,0
58150.402885699026,17773.769379581918,42,1,0
40060.643615812296,28606.58595838651,49,1,0
58558.98002889739,1911.7960088088785,50,2,1
38551.11265186225,0.0,62,2,1
22926.768490032213,16838.49544753695,53,0,0
25586.86343175256,33005.11181510854,37,2,0
50721.27419992073,27389.463529394372,35,1,0
53895.83752582223,17096.594152746256,55,0,0
36435.25062343387,10083.638143679527,20,2,0
59578.88688166061,23071.225966373102,40,1,0
25077.1990659656,5264.538002955314,49,2,1
49008.80302029025,19763.57769356219,62,1,0
31834.75700356315,20054.701591666268,33,2,0
40222.45838296761,25602.099074988797,22,2,0
50710.98006974621,42596.600389110776,21,0,0
37093.799520740715,18924.15967178767,38,2,0
44231.66683655262,9910.363742925012,57,2,1
65094.39213821661,14744.256878080056,68,1,1
41346.62195715277,0.0,31,1,0
62535.38168097712,8052.8686891094185,56,2,1
33054.397180135726,10907.17561886896,48,1,0
57947.06266872924,9759.116020654075,31,0,1
71623.5293098685,16523.54872033722,23,0,0
20000.0,6775.800676177994,29,1,0
38046.57116794285,26210.306673244715,33,2,0
58656.081907708096,15002.070649181971,34,1,0
46954.31920935511,14906.996788613857,62,1,1
55567.188100569634,11721.052834870821,40,0,0
40940.22219926269,16551.90683858979,31,1,0
51298.8468120935,23250.982646676348,24,2,0
47664.84146911881,6328.697842890997,63,1,1
67516.73092489711,8418.835109247433,49,2,1
53816.31264951819,11962.739712233353,32,1,0
55064.039931128034,1541.2907652678514,61,0,0
43821.84550816299,6807.421402785023,34,2,1
42685.906638912595,10237.791264553409,58,1,1
43511.627182705684,23743.891807127275,64,2,1
55916.78213567445,17625.61329001925,61,2,1
43685.232787696055,16935.899113675445,51,0,0
54346.62285344619,23508.979621679722,22,0,0
81131.01197968159,13626.282116006034,62,2,1
63066.87055147538,18904.648499288895,44,1,0
45109.647017482384,13967.782470675038,69,0,0
68018.20883245918,17653.623493996285,40,0,0
43878.86940467673,9172.41342388418,57,0,1
20000.0,0.0,31,2,0
34878.70533623894,13657.208378136958,32,0,0
21938.121184612166,29227.4813609994,60,1,0
44727.297739380374,24262.154022415925,50,2,1
50276.27568784328,24653.974845911707,48,1,1
75146.55968412924,27361.30721806218,52,0,0
54903.910606462436,15886.575909614374,34,2,1
46713.49206786704,16973.157074055955,45,0,0
62441.083717752335,8823.4810456565,36,2,0
20000.0,11839.271439729502,63,2,1
53534.21837162849,21157.711497711414,40,1,0
61562.9779083045,27038.844371688163,49,2,1
27821.206313302377,13605.537243190005,57,1,0
67156.31064810394,10498.107351485884,30,1,0
55077.44611241621,15005.279588565973,37,2,1
43770.681291487985,21012.06748929115,52,2,1
59491.72799159427,561.4518386645814,22,1,1
84060.39286706594,0.0,26,2,1
52727.99382587743,9494.631505084166,46,2,1
53723.30879450504,2792.8757408584133,23,2,0
43109.58650689634,9918.59802352689,42,2,1
37252.33445802813,13522.196811825284,48,1,0
62455.03724816369,10467.515909769867,39,1,0
37158.74261136699,29524.67534470745,19,2,0
51073.49355829089,18267.4476460232,62,0,1
42835.13829852325,18004.743596108285,22,2,0
57184.697386195876,21222.071440434018,44,1,0
55004.931579304226,3611.6688221923087,42,1,0
65563.0991638685,25391.117874202686,25,1,0
42349.75401717879,14242.357134645401,18,2,1
45951.87597059943,21704.806172412125,37,0,0
35318.54426326539,4281.427669598446,61,2,0
43335.60109885833,0.0,40,0,0
55659.50739567279,23178.896580250286,49,0,0
61354.829249680275,18764.095260975166,28,1,0
36167.52013733562,5979.484456424896,56,2,1
63044.088801584905,6303.369187253056,64,1,1
70334.56788207426,26254.347844147695,41,1,0
56201.523548355515,3105.881071326721,28,0,1
78151.937188371,31426.729532559635,46,1,0
38393.1620134464,5993.792653521312,43,2,1
31330.179450328746,21383.91925608383,33,2,0
23319.19626643582,11713.815242510154,52,1,0
72440.66467233775,21031.87431082343,37,2,0
59815.484845310864,9558.859978858074,63,2,1
49166.229936343174,13372.070939277059,20,0,0
54199.529394797304,15409.191753957211,18,2,1
33117.66429052435,4978.125442185274,64,2,1
86686.27969425239,22408.24345420126,18,0,0
51938.31772962841,9867.864335284148,34,0,0
51640.92191907339,12714.000846599814,19,2,1
60886.49935848038,5056.506253914877,46,2,1
57215.1384760507,0.0,37,0,1
53358.26036418697,13089.72237399831,23,1,0
38142.88316832032,39126.15421612916,25,1,0
57072.025357039936,22846.04287898024,46,2,0
78230.3674471255,14807.396202656053,65,2,1
70181.30069232467,12371.091707917323,68,2,1
73897.79939959096,15224.658928120463,50,1,1
42331.76485353222,20471.1911517521,20,2,1
35155.92769612129,3191.871846911552,52,2,1
48113.19619850528,26143.21694668872,22,1,0
50835.87368433042,22153.81315441244,44,0,0
66412.87277706423,22181.857257079344,61,2,1
24613.03055427771,19384.757388097274,29,2,1
72943.2547919092,15196.166576939899,37,1,1
47629.88152131516,21728.6123596682,62,2,1
43596.7839507887,20918.14133741378,37,1,0
34818.434371097486,11459.592890589762,26,2,0
25177.14992201346,9263.98227103099,56,2,0
62347.55875942872,16018.562952619866,21,2,1
51099.76950782606,30490.201514951874,68,2,1
30650.58650388419,2608.9292434609906,36,2,1
30573.818419045758,324.747342475599,55,1,1
44963.229510648074,16647.608412365167,44,2,0
75035.32287934089,15508.87701856018,62,0,1
